Species*,Exp*,Trt*,IrrDate,IrrAmount
wheat,HSCE0701,18,8067,49.8
wheat,HSCE0701,18,8067,3.5
wheat,HSCE0701,18,8073,16.9
wheat,HSCE0701,18,8073,3.4
wheat,HSCE0701,18,8074,16.2
wheat,HSCE0701,18,8081,40.4
wheat,HSCE0701,18,8081,4.3
wheat,HSCE0701,18,8088,48.2
wheat,HSCE0701,18,8088,5.1
wheat,HSCE0701,18,8094,58.8
wheat,HSCE0701,18,8094,6.1
wheat,HSCE0701,18,8101,58.5
wheat,HSCE0701,18,8108,5.6
wheat,HSCE0701,18,8108,61
wheat,HSCE0701,18,8115,53.8
wheat,HSCE0701,18,8115,5.3
wheat,HSCE0701,18,8122,72.8
wheat,HSCE0701,18,8122,7.3
wheat,HSCE0701,18,8129,59.6
wheat,HSCE0701,18,8129,5.9
wheat,HSCE0701,19,8004,22.6
wheat,HSCE0701,19,8005,54.6
wheat,HSCE0701,19,8010,36.7
wheat,HSCE0701,19,8011,21.8
wheat,HSCE0701,19,8018,40.4
wheat,HSCE0701,19,8025,41.5
wheat,HSCE0701,19,8038,19.8
wheat,HSCE0701,19,8038,2.1
wheat,HSCE0701,19,8044,24.6
wheat,HSCE0701,19,8046,2.2
wheat,HSCE0701,19,8053,24
wheat,HSCE0701,19,8053,2.2
wheat,HSCE0701,19,8059,60.2
wheat,HSCE0701,19,8059,2.7
wheat,HSCE0701,19,8067,32.5
wheat,HSCE0701,19,8067,3.3
wheat,HSCE0701,19,8073,19.9
wheat,HSCE0701,19,8073,3.7
wheat,HSCE0701,19,8074,18
wheat,HSCE0701,19,8081,34.1
wheat,HSCE0701,19,8081,4.3
wheat,HSCE0701,19,8088,51.7
wheat,HSCE0701,19,8088,5.4
wheat,HSCE0701,19,8094,58.8
wheat,HSCE0701,19,8094,5.9
wheat,HSCE0701,19,8101,60.1
wheat,HSCE0701,19,8108,56.2
wheat,HSCE0701,19,8108,5.6
wheat,HSCE0701,19,8115,52.1
wheat,HSCE0701,19,8115,5.3
wheat,HSCE0701,19,8122,74.8
wheat,HSCE0701,19,8122,7.5
wheat,HSCE0701,19,8129,5.9
wheat,HSCE0701,19,8129,58.7
wheat,HSCE0701,20,8045,30.2
wheat,HSCE0701,20,8046,49.9
wheat,HSCE0701,20,8053,42
wheat,HSCE0701,20,8059,33
wheat,HSCE0701,20,8067,39.7
wheat,HSCE0701,20,8074,31.3
wheat,HSCE0701,20,8081,32.9
wheat,HSCE0701,20,8087,46.7
wheat,HSCE0701,20,8094,54.6
wheat,HSCE0701,20,8105,46.4
wheat,HSCE0701,20,8109,65.4
wheat,HSCE0701,20,8116,58.8
wheat,HSCE0701,20,8123,67.8
wheat,HSCE0701,20,8129,69.6
wheat,HSCE0701,20,8136,86.7
wheat,HSCE0701,20,8144,16.3
wheat,HSCE0701,21,8073,101.5
wheat,HSCE0701,21,8081,45.9
wheat,HSCE0701,21,8087,20.8
wheat,HSCE0701,21,8095,26
wheat,HSCE0701,21,8101,139.9
wheat,HSCE0701,21,8108,46.3
wheat,HSCE0701,21,8116,51.4
wheat,HSCE0701,21,8123,69.8
wheat,HSCE0701,21,8129,64.3
wheat,HSCE0701,21,8136,60
wheat,HSCE0701,21,8143,57
wheat,HSCE0701,21,8150,49.2
wheat,HSCE0701,21,8157,68.6
wheat,HSCE0701,22,8073,99.6
wheat,HSCE0701,22,8081,47.8
wheat,HSCE0701,22,8087,20.6
wheat,HSCE0701,22,8095,25.9
wheat,HSCE0701,22,8101,138.3
wheat,HSCE0701,22,8108,48.8
wheat,HSCE0701,22,8116,53.3
wheat,HSCE0701,22,8123,68
wheat,HSCE0701,22,8129,64.4
wheat,HSCE0701,22,8136,59.7
wheat,HSCE0701,22,8143,57.7
wheat,HSCE0701,22,8150,49
wheat,HSCE0701,22,8157,68
wheat,HSCE0701,23,8073,100.3
wheat,HSCE0701,23,8081,47.4
wheat,HSCE0701,23,8087,20.3
wheat,HSCE0701,23,8095,25.9
wheat,HSCE0701,23,8101,138.3
wheat,HSCE0701,23,8108,48.7
wheat,HSCE0701,23,8116,53.3
wheat,HSCE0701,23,8123,67.7
wheat,HSCE0701,23,8129,64.4
wheat,HSCE0701,23,8136,59.9
wheat,HSCE0701,23,8143,57.2
wheat,HSCE0701,23,8150,48.5
wheat,HSCE0701,23,8157,68.9
wheat,HSCE0701,24,8073,101.5
wheat,HSCE0701,24,8081,45.9
wheat,HSCE0701,24,8087,20.8
wheat,HSCE0701,24,8087,2.8
wheat,HSCE0701,24,8095,26
wheat,HSCE0701,24,8095,2.6
wheat,HSCE0701,24,8101,139.9
