YEAR,MO,DY,SRAD,WS10M,T,T2MDEW,T2M_MAX,T2M_MIN,rain,RH,date
2019,3,6,2.08,1.38,26.61,18.5,31.49,22.91,0,62.62,06 March 2019
2019,3,7,2.19,1.11,25.21,18.36,29.26,21.92,0,67.5,07 March 2019
2019,3,8,1.86,1.5,25.41,17.66,30.3,21.96,0,63.94,08 March 2019
2019,3,9,2.05,1.66,25.94,17.98,30.9,21.85,0,63.31,09 March 2019
2019,3,10,2.03,1.73,25.3,19.51,29.4,22.19,0,71.81,10 March 2019
2019,3,11,1.73,1.24,25.73,18.29,30.04,22.14,0,65.5,11 March 2019
2019,3,12,1.1,1.37,25.51,18.43,29.69,21.87,0,66,12 March 2019
2019,3,13,2.02,1.28,25.59,18.49,30.87,21.98,0,66.69,13 March 2019
2019,3,14,1.91,1.17,26.08,19.09,30.4,22.5,0,66.75,14 March 2019
2019,3,15,1.59,1.86,25.71,18.88,29.54,22.96,0,67.06,15 March 2019
2019,3,16,2.62,1.55,26.27,17.09,31.07,21.66,0,58.69,16 March 2019
2019,3,17,2.08,1.62,26.7,17.65,32.46,22.75,0,58.88,17 March 2019
2019,3,18,1.77,1.38,26.73,17.74,32,22.94,5.27,59.44,18 March 2019
2019,3,19,2.12,1.1,25.61,18.8,30.52,22.13,5.27,67.94,19 March 2019
2019,3,20,1.86,1.31,26.6,17.62,32.61,22.53,0,60.81,20 March 2019
2019,3,21,1.82,1.23,27.37,16.65,32.7,22.47,0,54,21 March 2019
2019,3,22,1.96,1.32,26.32,18.84,29.91,22.9,10.55,65.06,22 March 2019
2019,3,23,1.79,1.63,25.63,18.86,30.76,22.19,5.27,69.06,23 March 2019
2019,3,24,2.46,1.25,26.99,16.98,33.23,21.83,0,57,24 March 2019
2019,3,25,2.63,1.24,27.86,15.03,33.98,21.58,0,48.5,25 March 2019
2019,3,26,2.77,1.27,27.84,15.89,34.05,22.43,0,50.38,26 March 2019
2019,3,27,2.73,1.62,27.58,15.8,34.08,22.56,0,51.12,27 March 2019
2019,3,28,2.3,1.61,26.62,18.49,32.38,22.37,5.27,63.06,28 March 2019
2019,3,29,1.27,1.61,26.2,20.11,31.86,22.39,5.27,71.56,29 March 2019
2019,3,30,1.53,0.84,24.2,21.28,27.33,22.13,10.55,85.06,30 March 2019
2019,3,31,1.22,1.39,25.93,20.23,31.87,22.01,0,73.62,31 March 2019
2019,4,1,1.9,1.02,24.74,21,27.9,22.44,5.27,80.94,01 April 2019
2019,4,2,1.8,1.15,24.53,18.23,29.12,21.82,5.27,70.88,02 April 2019
2019,4,3,2.79,1.37,25.67,17.08,30.93,20.83,0,61,03 April 2019
2019,4,4,2.83,1.4,25.76,17.88,31.21,20.46,0,63.94,04 April 2019
2019,4,5,2.21,1.17,25.2,18.17,29.7,22.13,0,66.88,05 April 2019
2019,4,6,2.56,1.43,25.74,18.13,31.03,21.41,0,65.19,06 April 2019
2019,4,7,2.81,1.15,25.65,18.76,30.73,21.89,5.27,67.31,07 April 2019
2019,4,8,2.22,1.59,24.65,17.98,29.5,20.65,0,68.88,08 April 2019
2019,4,9,2.02,1.29,25.43,19.07,30.89,21.91,0,69.81,09 April 2019
2019,4,10,2.01,1.21,25.55,20.73,30.88,21.59,0,77,10 April 2019
2019,4,11,1.75,1.52,26.14,20.59,30.8,22.51,0,73.31,11 April 2019
2019,4,12,1.81,1.56,26.19,20.32,31.24,22.94,0,71.81,12 April 2019
2019,4,13,1.87,1.36,25.83,19.88,31.21,22.37,0,72.12,13 April 2019
2019,4,14,1.53,1.55,26.85,20.13,32.87,22.03,0,69.56,14 April 2019
2019,4,15,2.1,1.51,25.93,20.58,31.13,22.61,0,74.56,15 April 2019
2019,4,16,1.41,1.09,24.63,20.98,29.15,22.37,10.55,82.25,16 April 2019
2019,4,17,1.16,1.48,24.26,21.09,28.43,21.4,5.27,84.19,17 April 2019
2019,4,18,1.28,1.59,25.58,20.23,31.06,20.82,0,75.44,18 April 2019
2019,4,19,1.68,1.84,25.07,20.47,29.87,21.55,0,77.5,19 April 2019
2019,4,20,1.69,1.47,25.11,20.58,30.15,20.9,10.55,78.31,20 April 2019
2019,4,21,1.66,1.5,24.6,21.24,28.8,22.12,15.82,82.88,21 April 2019
2019,4,22,1.87,1.33,23.62,20.82,27.53,21.46,10.55,85.81,22 April 2019
2019,4,23,2.43,1.21,23.96,20.9,28.5,20.94,10.55,84.62,23 April 2019
2019,4,24,1.09,1.33,22.99,21.4,25.35,21.45,0,91.5,24 April 2019
2019,4,25,2.05,1.43,24.81,19.39,29.91,20.65,0,74.12,25 April 2019
2019,4,26,2.82,1.42,26.12,20.3,31.48,21.83,0,72.69,26 April 2019
2019,4,27,2.2,1.39,25.12,21.58,29.75,21.97,5.27,82.56,27 April 2019
2019,4,28,2.73,1.4,25.13,21.05,29.08,22.08,5.27,79.88,28 April 2019
2019,4,29,2.86,1.83,25.96,19.3,31.3,21.27,0,69.06,29 April 2019
2019,4,30,2.99,1.64,25.98,19.19,31.27,22.07,0,68.31,30 April 2019
2019,5,1,3.16,1.7,26.6,18.39,32.55,21.95,0,63.44,01 May 2019
2019,5,2,3.03,1.79,26.01,19.02,30.44,22.04,0,67.31,02 May 2019
2019,5,3,2.21,1.16,25.01,20.48,28.94,21.98,0,77.38,03 May 2019
2019,5,4,2.46,1.28,24.78,19.84,29.28,21.84,0,75.25,04 May 2019
2019,5,5,2.45,0.78,23.91,19.91,27.9,22.15,5.27,79.5,05 May 2019
2019,5,6,1.68,1.12,24.28,20.51,27.28,22.03,0,80.81,06 May 2019
2019,5,7,2.69,1.55,26.23,20.04,32.48,21.87,5.27,72.38,07 May 2019
2019,5,8,1.83,1.53,25.29,20.54,31.23,21.26,5.27,78.12,08 May 2019
2019,5,9,1.97,0.99,23.6,21.3,26.8,21.22,10.55,88.31,09 May 2019
2019,5,10,2.68,1.35,24.98,20.76,29.88,21.33,0,79.56,10 May 2019
2019,5,11,1.35,1.35,24.48,21.48,28.96,21.39,0,85.25,11 May 2019
2019,5,12,2.71,0.9,24.31,19.72,28.32,20.65,0,78.31,12 May 2019
2019,5,13,1.53,1.29,23.97,21.05,27.84,20.95,5.27,85.25,13 May 2019
2019,5,14,1.8,1.2,24.02,20.31,28.44,21.33,0,81.81,14 May 2019
2019,5,15,2.31,1.3,24.83,19.83,29.86,21.07,0,76.44,15 May 2019
2019,5,16,2.11,1.45,25.48,19.92,30.89,21.17,5.27,73.88,16 May 2019
2019,5,17,2.48,1.5,25.71,19.73,31.12,20.8,0,72,17 May 2019
2019,5,18,2.85,1.39,25.78,20.08,31.25,22.08,0,73.56,18 May 2019
2019,5,19,2.02,1.42,25.28,20.4,30.12,21.23,0,76.44,19 May 2019
2019,5,20,1.97,1.48,25.92,19.21,31.73,21.51,0,69.75,20 May 2019
2019,5,21,2.41,1.32,25.08,19.66,30.24,22.07,5.27,74.38,21 May 2019
2019,5,22,2.25,1.23,24.26,21.14,29.16,21.39,15.82,84.94,22 May 2019
2019,5,23,2.08,1.24,23.59,21.54,27.16,21.48,21.09,89.44,23 May 2019
2019,5,24,2.71,1.27,23.93,21.31,28.23,21.21,10.55,86.94,24 May 2019
2019,5,25,1.24,1,23.51,20.96,26.68,20.71,0,86.88,25 May 2019
2019,5,26,2.84,1.05,24.35,21.46,28.65,21.67,5.27,85.75,26 May 2019
2019,5,27,1.64,1.24,23.71,21.4,26.92,21.55,5.27,88.06,27 May 2019
2019,5,28,2.71,1.05,23.87,20.77,27.35,20.73,0,84.44,28 May 2019
2019,5,29,1.91,1.3,24.58,20.78,28.94,21.54,5.27,81.38,29 May 2019
2019,5,30,2,0.91,23.24,21.44,25.98,21.36,5.27,90.62,30 May 2019
